ts,site_id,line_id,event_type,trace_id,job_id,paper_grade,flute,speed_mpm,steam_c,glue_gap_um,moisture_pct,wrap_arm_pos,vibration_mm_s,edge_status,cloud_fallback,optimizer,objective_waste,objective_throughput,objective_stability,candidate_speed_mpm,candidate_steam_c,candidate_glue_gap_um,predicted_setup_waste_kg,predicted_dry_end_waste_pct,edge_version,ingest_ms,prefilter_ms,drift_ms,inference_ms,decision_ms,edge_cpu_pct,edge_mem_pct,ws_clients,tsdb_lag_ms,alerts_queue_depth,action_id,effect_eval_window_s,pre_dry_end_waste_pct,post_dry_end_waste_pct,action_effect_waste_saved_kg,effect_confidence,action_title,action_steps_json,action_confidence,action_valid_for_s,action_source,forecast_horizon_s,forecast_setup_waste_kg_mean,forecast_setup_waste_kg_p90,forecast_setup_waste_kg_p10,forecast_dry_end_waste_pct_mean,next_job_id,changeover_eta_min,next_paper_grade,next_flute,suggested_speed_mpm,suggested_steam_c,suggested_glue_gap_um,expected_setup_waste_kg_low,expected_setup_waste_kg_high,operator_response,operator_latency_ms,operator_notes,channel,drift_method,drift_score,drift_status,drift_threshold,Start shift time,End shift time
2025-06-29 16:00:00,PLANT-03,LINE-A,setup,tr-348036-511751,job-965146-212065,Testliner 200gsm,BC,173.0,188.0,1188,6.42,65,2.2,ok,1,Edge Optimizer v3.1,1,0,1,170.89,185.58,1117.1,105.7,3.88,edge-1.9.4,140,85,70,55,91,80.7,51.4,2,423,4,act-110099-492912,1800,4.14,3.94,8.1,0.6,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.93,900,edge,900,106.5,111.5,95.4,3.99,job-274579-590391,40,Medium 140gsm,B,166.92,186.77,1128.06,95.4,111.5,acknowledged,251,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.29,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 16:12:00,PLANT-01,LINE-A,run,tr-673768-913441,job-134045-965298,Medium 140gsm,C,190.0,180.0,1018,6.69,51,1.83,ok,0,Edge Optimizer v3.1,1,0,1,206.22,188.82,1022.86,123.3,3.11,edge-1.9.4,243,68,88,95,80,49.3,55.8,6,180,3,act-528123-178466,1800,3.47,3.3,8.3,0.79,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.71,900,edge,900,104.5,120.8,105.4,3.03,job-864992-616288,37,White Top 170gsm,C,206.39,190.59,970.48,105.4,120.8,acknowledged,382,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.32,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 16:24:00,PLANT-03,LINE-A,adjust,tr-150052-170575,job-254500-246841,Kraft 120gsm,B,250.0,183.0,814,6.43,58,2.3,ok,0,Edge Optimizer v3.1,0,1,1,273.91,179.1,808.83,61.8,2.46,edge-1.9.4,176,122,106,64,70,77.6,44.7,5,268,3,act-939211-376107,1800,2.81,2.44,4.5,0.69,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.72,900,edge,900,52.6,58.9,46.5,2.52,job-694069-906220,30,Testliner 200gsm,C,269.32,179.83,862.45,46.5,58.9,acknowledged,407,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.45,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 16:36:00,PLANT-03,LINE-B,run,tr-977656-877467,job-211527-780297,Testliner 150gsm,B,227.0,182.0,814,6.92,45,1.29,ok,0,Edge Optimizer v3.1,1,1,0,230.64,177.25,853.33,92.0,2.63,edge-1.9.4,121,108,90,79,72,62.1,47.6,3,212,4,act-234681-909316,1800,3.31,2.59,4.7,0.49,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.71,900,edge,900,73.8,95.6,75.8,2.63,job-866901-101903,23,Testliner 150gsm,C,232.5,177.05,868.83,75.8,95.6,acknowledged,566,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.34,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 16:48:00,PLANT-03,LINE-C,run,tr-267221-644029,job-439714-631604,White Top 200gsm,BC,178.0,190.0,1044,7.0,59,0.71,ok,1,Edge Optimizer v3.1,1,1,1,184.44,195.23,1041.1,106.5,4.11,edge-1.9.4,197,110,87,72,66,59.3,70.4,2,461,7,act-936746-770723,1800,3.5,3.08,5.9,0.6,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.9,900,edge,900,110.7,106.0,100.7,4.11,job-144754-144965,33,Kraft 180gsm,C,187.02,196.23,1059.84,100.7,106.0,acknowledged,455,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.52,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 17:00:00,PLANT-01,LINE-C,alert,tr-984612-703858,job-845418-464665,Kraft 180gsm,C,199.0,193.0,943,6.56,71,1.95,ok,0,Edge Optimizer v3.1,1,0,1,220.02,192.4,890.45,117.5,3.23,edge-1.9.4,204,55,62,107,63,57.4,77.2,6,337,3,act-872842-925773,1800,3.31,3.05,8.8,0.76,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.7,900,edge,900,115.6,120.6,96.8,3.45,job-805603-973226,38,White Top 200gsm,C,223.57,194.88,935.29,96.8,120.6,acknowledged,599,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.13,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 17:12:00,PLANT-01,LINE-A,run,tr-440440-118955,job-626367-904345,Medium 140gsm,C,171.0,176.0,993,6.55,62,1.94,ok,1,Edge Optimizer v3.1,0,0,0,166.19,178.33,951.82,115.9,3.58,edge-1.9.4,115,74,90,91,110,61.7,64.4,1,277,7,act-253124-640163,1800,3.4,3.4,2.2,0.86,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.83,900,edge,900,116.5,115.7,107.7,3.56,job-205909-945409,35,Testliner 150gsm,B,161.75,178.71,960.98,107.7,115.7,acknowledged,565,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.27,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 17:24:00,PLANT-03,LINE-C,alert,tr-760024-978415,job-988610-490419,Medium 112gsm,B,208.0,186.0,773,6.71,66,0.4,ok,0,Edge Optimizer v3.1,1,0,1,214.31,185.44,857.55,57.9,2.65,edge-1.9.4,180,103,64,65,79,52.7,58.2,2,277,3,act-140801-399313,1800,3.23,2.7,10.6,0.65,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.72,900,edge,900,47.5,87.2,37.3,2.75,job-818513-126322,20,Kraft 180gsm,BC,213.05,186.6,875.11,37.3,87.2,acknowledged,366,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.41,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 17:36:00,PLANT-01,LINE-B,adjust,tr-505718-183239,job-282076-671485,Kraft 120gsm,B,221.0,186.0,787,6.4,62,0.4,ok,1,Edge Optimizer v3.1,0,0,0,216.15,180.39,805.82,67.0,2.3,edge-1.9.4,193,70,80,72,31,79.3,65.1,4,304,4,act-577799-634134,1800,2.81,2.81,12.4,0.93,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.54,900,edge,900,67.4,57.3,43.2,2.08,job-478239-892479,47,Kraft 120gsm,E,218.19,179.04,754.57,43.2,57.3,acknowledged,738,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.33,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 17:48:00,PLANT-01,LINE-C,alert,tr-621892-612778,job-551973-458920,Testliner 150gsm,C,210.0,177.0,1032,6.3,46,1.95,ok,0,Edge Optimizer v3.1,0,0,1,215.52,174.5,986.04,88.1,2.79,edge-1.9.4,152,96,101,41,94,42.7,56.6,4,287,1,act-874838-275777,1800,3.51,3.46,1.0,0.6,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.66,900,edge,900,76.8,110.4,72.3,2.81,job-950505-660308,28,Kraft 120gsm,E,213.85,175.57,993.32,72.3,110.4,acknowledged,864,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.12,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 18:00:00,PLANT-03,LINE-B,alert,tr-397350-605769,job-448568-252979,White Top 200gsm,BC,187.0,195.0,1152,6.18,52,2.05,ok,0,Edge Optimizer v3.1,0,0,0,202.7,200.0,1169.73,104.6,3.85,edge-1.9.4,270,125,79,49,77,54.5,69.5,4,244,2,act-680734-436730,1800,4.19,3.91,4.5,0.6,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.95,900,edge,900,116.9,134.3,86.4,3.9,job-289312-111830,39,Kraft 180gsm,C,198.8,200.0,1142.96,86.4,134.3,acknowledged,383,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.59,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 18:12:00,PLANT-01,LINE-C,adjust,tr-698908-229897,job-310108-699132,White Top 200gsm,BC,162.0,190.0,1119,6.69,60,1.94,ok,1,Edge Optimizer v3.1,1,1,0,167.73,193.61,1203.25,115.6,4.07,edge-1.9.4,207,110,57,47,97,67.3,70.0,4,351,2,act-741834-958846,1800,3.57,2.78,7.1,0.65,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.72,900,edge,900,110.9,110.1,103.1,4.12,job-211295-664924,33,Medium 112gsm,B,171.09,196.61,1206.53,103.1,110.1,acknowledged,788,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.26,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
2025-06-29 18:24:00,PLANT-02,LINE-B,run,tr-979887-393995,job-877421-410007,White Top 170gsm,B,250.0,186.0,713,6.18,65,1.71,ok,1,Edge Optimizer v3.1,1,0,0,234.4,192.98,669.34,84.4,2.34,edge-1.9.4,264,56,90,85,71,85.5,55.1,1,303,1,act-106828-583738,1800,2.65,2.37,10.2,0.56,Reduce steam by 3°C and increase speed +6 m/min,"[{""step"":""Lower steam setpoint"",""delta_c"":-3},{""step"":""Raise speed"",""delta_mpm"":6}]",0.69,900,edge,900,85.3,82.0,77.9,2.43,job-240101-241171,25,Testliner 200gsm,C,236.08,193.02,688.93,77.9,82.0,acknowledged,552,Adjusted steam -2°C; verified bond quality,edge-ui,ks_test,0.39,normal,0.6,2025-06-29 14:00:00,2025-06-29 22:00:00
